minute,webe_count,actigraph_SW,model_pred_SW
2026-05-18 22:00:00,4.5638464590294236e-09,S,S
2026-05-18 22:01:00,621.153580967992,S,W
2026-05-18 22:02:00,155.25246268518683,S,S
2026-05-18 22:03:00,112.1438047004476,S,S
2026-05-18 22:04:00,184.56406080096423,S,W
2026-05-18 22:05:00,417.976060206813,W,W
2026-05-18 22:06:00,5587.504144434095,S,W
2026-05-18 22:07:00,0.0045716075640316,W,S
2026-05-18 22:08:00,0.0038797828238788,W,S
2026-05-18 22:09:00,2933.108329694382,W,W
2026-05-18 22:10:00,3.9668295224035385e-74,W,S
2026-05-18 22:11:00,224.5278776267949,W,W
2026-05-18 22:12:00,0.0131840251874149,W,S
2026-05-18 22:13:00,0.0156493980146395,W,S
2026-05-18 22:14:00,179.55921901093296,S,W
2026-05-18 22:15:00,0.0112451895732682,S,S
2026-05-18 22:16:00,2319.7075305043936,W,W
2026-05-18 22:17:00,550.0202212104806,W,W
2026-05-18 22:18:00,0.003670136996109,W,S
2026-05-18 22:19:00,889.5798386207615,W,W
2026-05-18 22:20:00,931.1959548180898,W,W
2026-05-18 22:21:00,1614.9343500417242,W,W
2026-05-18 22:22:00,1903.4488577176696,W,W
2026-05-18 22:23:00,664.4686551742783,W,W
2026-05-18 22:24:00,212.44552777499624,W,W
2026-05-18 22:25:00,1186.896432703653,W,W
2026-05-18 22:26:00,0.0,W,S
2026-05-18 22:27:00,0.0,W,S
2026-05-18 22:28:00,0.0074440437921048,W,S
2026-05-18 22:29:00,0.0069759552707679,W,S
2026-05-18 22:30:00,1428.2375449718502,W,W
2026-05-18 22:31:00,1917.103714194255,W,W
2026-05-18 22:32:00,1.2052927648878211e-64,W,S
2026-05-18 22:33:00,19.814144603696494,S,S
2026-05-18 22:34:00,636.0994889257122,W,W
2026-05-18 22:35:00,130.5616548111927,W,S
2026-05-18 22:36:00,120.60043001058874,W,S
2026-05-18 22:37:00,0.015658027545111,W,S
2026-05-18 22:38:00,146.78005288991267,W,S
2026-05-18 22:39:00,1.4256855480156894e-48,S,S
2026-05-18 22:40:00,120.60653829040778,W,S
2026-05-18 22:41:00,4139.747774726849,W,W
2026-05-18 22:42:00,3585.059656148101,W,W
2026-05-18 22:43:00,171.40253510307284,W,W
2026-05-18 22:44:00,2268.427711279552,W,W
2026-05-18 22:45:00,2455.708484061058,W,W
2026-05-18 22:46:00,2574.2970197727964,W,W
2026-05-18 22:47:00,344.41325387207524,W,W
2026-05-18 22:48:00,1538.76955424588,W,W
2026-05-18 22:49:00,145.49076981816646,W,S
2026-05-18 22:50:00,0.0041370690277003,W,S
2026-05-18 22:51:00,0.0132170034147336,W,S
2026-05-18 22:52:00,669.5774214385784,W,W
2026-05-18 22:53:00,0.0076956169307863,W,S
2026-05-18 22:54:00,185.9421533295117,W,W
2026-05-18 22:55:00,2427.00811727186,W,W
2026-05-18 22:56:00,5954.644476426163,W,W
2026-05-18 22:57:00,2298.9746907167164,W,W
2026-05-18 22:58:00,2729.889155813583,W,W
2026-05-18 22:59:00,1293.5879941448943,W,W
2026-05-18 23:00:00,208.22128609491003,W,W
2026-05-18 23:01:00,1.428373480076988e-18,W,S
2026-05-18 23:02:00,1047.157966900379,W,W
2026-05-18 23:03:00,3577.271676200166,W,W
2026-05-18 23:04:00,536.5887717673692,W,W
2026-05-18 23:05:00,136.95609726237106,W,S
2026-05-18 23:06:00,1736.3187958419085,W,W
2026-05-18 23:07:00,216.6839929423076,W,W
2026-05-18 23:08:00,393.6172171774451,W,W
2026-05-18 23:09:00,8209.543257403593,W,W
2026-05-18 23:10:00,514.7159661953444,W,W
2026-05-18 23:11:00,6789.372455788537,W,W
2026-05-18 23:12:00,165.8760331344392,W,S
2026-05-18 23:13:00,0.012755747095014,W,S
2026-05-18 23:14:00,0.0096880219522988,W,S
2026-05-18 23:15:00,1737.1747986081707,W,W
2026-05-18 23:16:00,4820.587857828601,W,W
2026-05-18 23:17:00,582.8405813213668,W,W
2026-05-18 23:18:00,63.29124898515156,W,S
2026-05-18 23:19:00,8.076028734649299e-11,W,S
2026-05-18 23:20:00,8.117240213323385e-11,W,S
2026-05-18 23:21:00,8.192557743313955e-11,W,S
2026-05-18 23:22:00,73.13604708129175,W,S
2026-05-18 23:23:00,1.5432988220709376e-10,W,S
2026-05-18 23:24:00,812.9579462495763,W,W
2026-05-18 23:25:00,1.258853512607373e-152,W,S
2026-05-18 23:26:00,2763.030484267099,W,W
2026-05-18 23:27:00,494.8856774244788,W,W
2026-05-18 23:28:00,0.0,S,S
2026-05-18 23:29:00,0.0,W,S
2026-05-18 23:30:00,3541.818728001281,W,W
2026-05-18 23:31:00,6373.885140405231,W,W
2026-05-18 23:32:00,3290.0162287877533,W,W
2026-05-18 23:33:00,2.8859101477781114e-87,W,S
2026-05-18 23:34:00,8925.566097465093,W,W
2026-05-18 23:35:00,1638.5136065300503,W,W
2026-05-18 23:36:00,1243.1902067752574,S,W
2026-05-18 23:37:00,1675.4438623930562,S,W
2026-05-18 23:38:00,1993.8113773341,S,W
2026-05-18 23:39:00,274.9551648252329,W,W
2026-05-18 23:40:00,996.61854984072,W,W
2026-05-18 23:41:00,572.0118431679106,W,W
2026-05-18 23:42:00,0.0018370677879373,S,S
2026-05-18 23:43:00,555.664297608895,W,W
2026-05-18 23:44:00,176.1055407816283,S,W
2026-05-18 23:45:00,0.0,S,S
2026-05-18 23:46:00,0.0,W,S
2026-05-18 23:47:00,950.1879673959228,W,W
2026-05-18 23:48:00,6101.35704867253,W,W
2026-05-18 23:49:00,10077.127095834105,W,W
2026-05-18 23:50:00,2363.9574997019267,W,W
2026-05-18 23:51:00,247.9102630689036,W,W
2026-05-18 23:52:00,7595.752339035497,W,W
2026-05-18 23:53:00,7037.784426174224,W,W
2026-05-18 23:54:00,1565.662476342142,W,W
2026-05-18 23:55:00,7769.36831772871,W,W
2026-05-18 23:56:00,1591.4214028143665,W,W
2026-05-18 23:57:00,705.6231418439011,W,W
2026-05-18 23:58:00,0.0128244823646525,W,S
2026-05-18 23:59:00,5362.54658907344,W,W
2026-05-19 00:00:00,3539.480656430469,W,W
2026-05-19 00:01:00,141.42362952798462,W,S
2026-05-19 00:02:00,0.0,W,S
2026-05-19 00:03:00,0.0122259498570761,W,S
2026-05-19 00:04:00,2435.957767230828,W,W
2026-05-19 00:05:00,705.723756937289,W,W
2026-05-19 00:06:00,572.8744779004879,W,W
2026-05-19 00:07:00,6242.224815848108,W,W
2026-05-19 00:08:00,6845.865767886718,W,W
