minute,webe_count,actigraph_SW,model_pred_SW
2026-05-15 22:33:00,82.03493824551512,W,W
2026-05-15 22:34:00,65.39040302894311,W,W
2026-05-15 22:35:00,245.76195947238256,W,W
2026-05-15 22:36:00,295.7266203178123,W,W
2026-05-15 22:37:00,145.14475130036558,W,W
2026-05-15 22:38:00,55.3273500267957,W,W
2026-05-15 22:39:00,50.42304416503752,W,W
2026-05-15 22:40:00,47.79373500857808,W,W
2026-05-15 22:41:00,59.36605087428484,W,W
2026-05-15 22:42:00,39.05548325616382,W,W
2026-05-15 22:43:00,33.33600376162283,W,W
2026-05-15 22:44:00,44.16888611128498,W,W
2026-05-15 22:45:00,52.50078426178751,W,W
2026-05-15 22:46:00,38.04207706052023,W,W
2026-05-15 22:47:00,22.392585580322272,W,W
2026-05-15 22:48:00,43.58668102508181,W,W
2026-05-15 22:49:00,9.821809546485325,W,W
2026-05-15 22:50:00,19.573976190761734,W,W
2026-05-15 22:51:00,45.9592460045364,W,W
2026-05-15 22:52:00,56.208113267504366,W,W
2026-05-15 22:53:00,68.86871125127203,W,W
2026-05-15 22:54:00,23.268341849834705,W,W
2026-05-15 22:55:00,75.23509261240561,W,W
2026-05-15 22:56:00,68.63943811546756,W,W
2026-05-15 22:57:00,50.3098318346612,W,W
2026-05-15 22:58:00,44.51766735878432,W,W
2026-05-15 22:59:00,77.81784504843606,W,W
2026-05-15 23:00:00,17.136800762115513,W,W
2026-05-15 23:01:00,39.411590137548,S,W
2026-05-15 23:02:00,40.78658926888847,W,W
2026-05-15 23:03:00,30.45553548375124,W,W
2026-05-15 23:04:00,65.01071858175504,W,W
2026-05-15 23:05:00,29.03857028252648,S,W
2026-05-15 23:06:00,15.994641074123862,S,W
2026-05-15 23:07:00,42.074233546471454,S,W
2026-05-15 23:08:00,31.852841942084687,W,W
2026-05-15 23:09:00,31.659689024679967,W,W
2026-05-15 23:10:00,24.34991500510488,W,W
2026-05-15 23:11:00,33.298719759415455,S,W
2026-05-15 23:12:00,44.923893949427054,S,W
2026-05-15 23:13:00,49.51832137100731,W,W
2026-05-15 23:14:00,26.207812248741902,W,W
2026-05-15 23:15:00,20.921786211767387,W,W
2026-05-15 23:16:00,48.15713276612521,W,W
2026-05-15 23:17:00,30.95031033460291,S,W
2026-05-15 23:18:00,35.00563256631638,S,W
2026-05-15 23:19:00,28.614974324921736,W,W
2026-05-15 23:20:00,20.942194394721,S,W
2026-05-15 23:21:00,20.65155941934532,W,W
2026-05-15 23:22:00,49.9414920144543,W,W
2026-05-15 23:23:00,78.67866567485167,W,W
2026-05-15 23:24:00,18.6550629308026,W,W
2026-05-15 23:25:00,62.21295802529021,W,W
2026-05-15 23:26:00,65.44355477272399,W,W
2026-05-15 23:27:00,96.24118100665083,W,W
2026-05-15 23:28:00,98.21230754240464,W,W
2026-05-15 23:29:00,70.57045361856103,W,W
2026-05-15 23:30:00,33.952848507696686,W,W
2026-05-15 23:31:00,18.63432868111791,W,W
2026-05-15 23:32:00,42.91513102671592,W,W
2026-05-15 23:33:00,15.940929935229285,W,W
2026-05-15 23:34:00,75.25835453808517,W,W
2026-05-15 23:35:00,30.787698165062427,W,W
2026-05-15 23:36:00,68.77542030244426,W,W
2026-05-15 23:37:00,49.15646430177279,W,W
2026-05-15 23:38:00,33.98022091513952,W,W
2026-05-15 23:39:00,46.90458991524047,W,W
2026-05-15 23:40:00,21.98572071587204,W,W
2026-05-15 23:41:00,15.263906009378058,W,W
2026-05-15 23:42:00,27.99534696236197,W,W
2026-05-15 23:43:00,39.41621948083525,W,W
2026-05-15 23:44:00,61.60880516825322,W,W
2026-05-15 23:45:00,24.223071323077654,W,W
2026-05-15 23:46:00,42.84873705464973,W,W
2026-05-15 23:47:00,42.84510771975457,W,W
2026-05-15 23:48:00,40.32851406744753,W,W
